Denumire,Afectiuni,Ingrediente,Compensat
Dexametazonă,Epilepsie,Pantoprazole,Da
Acetaminofen,Hipertensiune,Rosuvastatin,Da
Insulină Glargin,Hipertensiune,Metformin,Da
Acetaminofen,Infecții,Insulin glargine,Nu
Ketoprofen,Diabet,Amlodipine,Nu
Simvastatin,Alergii,Pantoprazole,Nu
Tramadol,Reflux gastric,Insulin glargine,Da
Furosemid,Alergii,Simvastatin,Nu
Amoxicilină,Durere,Omeprazole,Da
Clonazepam,Infecții,Metoprolol,Nu
Acetaminofen,Tiroidă,Simvastatin,Da
Levotiroxină,Inflamație,Amlodipine,Da
Insulină Aspart,Durere,Losartan,Da
Tiotropiu,Infecții,Ibuprofen,Nu
Metoprolol,Bronșită,Ibuprofen,Nu
Simvastatin,Alergii,Levothyroxine,Da
Amlodipină,Epilepsie,Fluoxetine,Nu
Dexametazonă,Tiroidă,Enalapril,Da
Omeprazol,Epilepsie,Furosemide,Nu
Ibuprofen,Infecții,Metoprolol,Nu
Escitalopram,Epilepsie,Rosuvastatin,Da
Fluoxetină,Infecții,Amlodipine,Da
Sertralină,Insomnie,Ibuprofen,Nu
Duloxetină,Diabet,Duloxetine,Nu
Loratadină,Insomnie,Levothyroxine,Da
Ibuprofen,Alergii,Atorvastatin,Nu
Rosuvastatin,Hipertensiune,Amoxicillin,Nu
Amlodipină,Alergii,Clonazepam,Nu
